,Donor City,Donor State,Donor Is Teacher,Teacher Project Posted Sequence,Project Type,Project Grade Level Category,Project Cost,Donated_y_n,School Metro Type,School Percentage Free Lunch,School State,School City,Project_res_total_cost,Donor_vs_school_state,Donor_vs_school_city,Project_posted_month,Project_posted_day_of_month,Num_hist_donations,Days_since_last_donation,Avg_days_between_donations,Avg_donations_per_proj,Interest_in_optional,Total_interest_in_cat,Total_interest_in_subcat,Interest_in_res,Interest_in_grade,Interest_in_proj_type,Interest_in_metro,Interest_in_county,Interest_in_district,Interest_in_zip,Donation_month,Interest_in_month,Total_project_interest,Donor Cluster,School Cluster,Project Cluster,Distance,School Population,School Population Density,School Occupied Housing Units,School Median Home Value,School Median Household Income,Donor Population,Donor Population Density,Donor Occupied Housing Units,Donor Median Home Value,Donor Median Household Income
424,Arlington,Virginia,0,4,2,3,0.02612874803086535,Y,0.0,0.9148936170212766,Florida,Naples,0.04611547182975754,0,0,7,21,139,8.609039351851852,12.021003697042362,1.0,1.0,0.007194244604316547,0.007194244604316547,0.0,0.014388489208633094,0.06474820143884892,0.014388489208633094,0.0,0.0,0.0,7.0,0.05755395683453238,0.1079136690647482,1,4,2,0.1845488178010458,7.899128133732239e-05,8.337733803952087e-05,0.00015984015984015984,0.25082632508851854,0.274623438936779,0.33053248945980906,0.39773769489452765,0.7138061938061938,0.6378335594753506,0.5973343130405455
425,Arlington,Virginia,0,2,2,3,0.05724908552051905,Y,3.0,0.8617021276595744,Ohio,Columbus,0.08016745159602302,0,0,5,17,139,8.609039351851852,12.021003697042362,1.0,1.0,0.03597122302158273,0.04316546762589928,0.050359712230215826,0.014388489208633094,0.06474820143884892,0.04316546762589928,0.007194244604316547,0.007194244604316547,0.007194244604316547,5.0,0.06474820143884892,0.2733812949640288,1,1,0,0.06496780393175473,0.35045469356319797,0.3200022233956811,0.5872927072927073,0.1838539917142537,0.050507608370358434,0.33053248945980906,0.39773769489452765,0.7138061938061938,0.6378335594753506,0.5973343130405455
426,Beverly Hills,California,0,1,2,1,0.0578218033268363,Y,0.0,0.553191489361702,Hawaii,Ewa Beach,0.077437641723356,0,0,7,11,28,23.477777777777778,52.749360119047616,1.0,1.0,0.0,0.0,0.03571428571428571,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,7.0,0.03571428571428571,0.07142857142857142,3,4,0,0.5136376542941612,0.3977112276232511,0.05919791000805981,0.5405394605394606,0.6004926659948494,0.5275673933562006,1.0,0.474139128984742,0.9631968031968032,0.2643600180913614,0.1370967741935484
427,Orange,California,1,1,2,4,0.20056737778015113,Y,3.0,0.45744680851063824,California,Anaheim,0.21738705738705738,1,0,8,29,13,721.0461805555556,51.69076566951566,1.1818181818181819,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.07692307692307693,0.0,1,1,3,0.0,0.6128341084352815,0.27436702704204996,0.6999000999000999,0.3432986227746053,0.2548477942248517,0.6128417539667651,0.27436702704204996,0.6999000999000999,0.3368385345997286,0.20002288660290543
428,West Jordan,Utah,0,3,2,1,0.018192134141457292,Y,0.0,0.2553191489361702,Utah,West Jordan,0.034182801325658464,1,1,9,1,7,613.213287037037,107.73585152116402,1.1666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.14285714285714285,0.0,2,0,2,0.0,0.007138837050860511,0.0008893582724215558,0.00951048951048951,0.15160676296047473,0.4148883108113293,0.007158443507538582,0.0008893582724215558,0.00951048951048951,0.14326096788783357,0.32563419981208896
429,Royal Oak,Michigan,1,131,2,2,0.10426401089365336,Y,0.0,0.8404255319148936,Michigan,Detroit,0.13160997732426302,1,0,8,6,43,7.231631944444445,25.490892818690774,1.5357142857142858,1.0,0.27906976744186046,0.2558139534883721,0.06976744186046512,0.20930232558139536,0.20930232558139536,0.20930232558139536,0.20930232558139536,0.20930232558139536,0.20930232558139536,8.0,0.23255813953488372,1.8604651162790695,0,3,5,0.006274220268316462,0.1265045370617218,0.17759373002417944,0.28243756243756246,0.12428619415518977,0.004872733411604019,0.11834635018118268,0.017537033434312555,0.20355644355644356,0.09984170058796923,0.1874352550049387
430,Brooklyn,New York,1,1,2,4,0.132882546124476,Y,3.0,0.8723404255319148,Pennsylvania,Philadelphia,0.16292342578056862,0,0,8,23,35,8.010451388888889,44.89427281746031,1.0,1.0,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.08571428571428572,0.08571428571428572,0.02857142857142857,0.02857142857142857,0.02857142857142857,8.0,0.11428571428571428,0.4285714285714286,3,3,5,0.015263245649594805,0.2329609595760502,0.1643460955050627,0.36504254167391803,0.25082632508851854,0.274623438936779,0.5048233098668036,1.0,0.932067932067932,0.7140434192673,0.48703293261702285
431,West Jordan,Utah,1,3,2,4,0.055438816650201575,Y,0.0,0.5638297872340425,Utah,West Jordan,0.07818768533054248,1,1,6,3,3,79.38244212962962,99.7546797839506,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0,0.3333333333333333,3.0,2,0,0,0.0,0.007138837050860511,0.0008893582724215558,0.00951048951048951,0.15160676296047473,0.4148883108113293,0.007158443507538582,0.0008893582724215558,0.00951048951048951,0.14326096788783357,0.32563419981208896
432,Fort Lee,New Jersey,0,348,2,1,0.012123194403652577,Y,3.0,0.8829787234042553,California,Los Angeles,0.02824524681667539,0,0,8,7,561,2.4354050925925925,3.0058101645540276,1.003577817531306,1.0,0.0285204991087344,0.016042780748663103,0.044563279857397504,0.0285204991087344,0.06060606060606061,0.0392156862745098,0.012477718360071301,0.012477718360071301,0.012477718360071301,8.0,0.0962566844919786,0.2549019607843137,2,3,2,0.48733851478547163,0.563879261826476,0.45318362469080903,0.5183216783216783,0.2472287537789721,0.15802236085852195,0.160990926055747,0.11981323476279147,0.19408591408591408,0.2814337403889643,0.34111277072442125
433,Annandale,New Jersey,0,3,2,3,0.044804154540357244,Y,0.0,0.7446808510638298,New Jersey,Camden,0.06655154369440085,1,0,8,18,14,5.4850462962962965,49.64519345238095,1.0,1.0,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.21428571428571427,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.07142857142857142,0.07142857142857142,8.0,0.2857142857142857,1.5714285714285712,0,1,0,0.3173110784719747,0.301114764457873,0.024290597815513744,0.47404595404595407,0.08621654909864515,0.12595440349302084,0.08443013852822402,0.014563241710902976,0.11656343656343657,0.438715513342379,0.5995446770579875
434,Richmond,Virginia,1,5,2,1,0.060491816409900395,Y,3.0,0.8723404255319148,Virginia,Richmond,0.08371533228676084,1,1,8,23,10,7.649895833333333,36.36211574074074,1.6666666666666667,0.7,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,8.0,0.6,2.1999999999999997,3,3,0,,0.2329609595760502,0.1643460955050627,0.36504254167391803,0.25082632508851854,0.274623438936779,0.2282562365375023,0.18005417027122927,0.36265685019206145,0.29637086791517037,0.26091688864662055
435,Martinez,California,0,7,2,2,0.12405414786532454,Y,0.0,0.276595744680851,California,Martinez,0.1405895691609977,1,1,9,1,3,590.4917476851851,32.01927469135802,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2,4,5,0.0,0.5945081311650227,0.2110280425780273,1.0,0.6474079050498264,0.41876347675284115,0.5945161385874663,0.2110280425780273,1.0,0.643939393939394,0.32867570888241104
436,Chicago,Illinois,0,4,2,2,0.06257709662777347,Y,3.0,0.6170212765957447,Illinois,Chicago,0.08599686028257457,1,1,8,28,16,11.191377314814815,95.76116825810185,1.0666666666666667,0.9375,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.0625,8.0,0.3125,0.3125,2,3,0,0.0,0.10967939413687214,0.800227898057308,0.2692907092907093,0.5211062590975255,0.6219602968146903,0.10969697568103952,0.800227898057308,0.2692907092907093,0.5163952962460425,0.48815919439157773
437,Hamden,Connecticut,0,5,2,1,0.04463327370304114,Y,3.0,0.4361702127659574,California,Anaheim,0.06087563230420373,0,0,8,10,3,20.57261574074074,417.56478009259257,1.0,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,8.0,0.3333333333333333,3.3333333333333335,1,1,0,0.4985399807265989,0.6128341084352815,0.27436702704204996,0.6999000999000999,0.3432986227746053,0.2548477942248517,0.2282562365375023,0.18005417027122927,0.36265685019206145,0.29637086791517037,0.26091688864662055
438,Washington,Utah,0,1,2,4,0.05882038821990228,Y,1.0,0.4361702127659574,Utah,Escalante,0.07454212454212453,1,0,6,22,7,51.08201388888889,214.83173776455027,1.0,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,,,2.2857142857142856,1,1,0,0.0,0.08580427935266645,0.0008893582724215558,0.11824175824175824,0.146008285746277,0.23380679420183093,0.08582233236900048,0.0008893582724215558,0.11824175824175824,0.13760741745816374,0.18350839576959213
439,Strasburg,Ohio,1,2,2,2,0.07047232531439403,Y,0.0,0.5957446808510638,Louisiana,Denham Springs,0.0871254142682714,0,0,8,4,284,3.0834953703703705,1.3386049572900347,1.1983122362869199,0.7535211267605634,0.176056338028169,0.06338028169014084,0.08098591549295775,0.15492957746478872,0.36619718309859156,0.13732394366197184,0.0,0.0,0.0,8.0,0.18309859154929578,0.9788732394366199,1,0,0,,0.2329609595760502,0.1643460955050627,0.36504254167391803,0.25082632508851854,0.274623438936779,0.348482903662161,0.01197854423167783,0.5438561438561439,0.06105834464043419,0.1330494591534366
440,Pleasanton,California,0,4,2,2,0.023091608148879925,Y,3.0,0.9574468085106383,Louisiana,Baton Rouge,0.039396476539333675,0,0,5,20,21,36.274097222222224,75.6742471340388,1.0,1.0,0.19047619047619047,0.23809523809523808,0.14285714285714285,0.14285714285714285,0.19047619047619047,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,5.0,0.23809523809523808,1.0952380952380953,2,4,2,0.3681580168993968,0.00010861301183881828,0.002779244601317362,0.0004795204795204795,0.25082632508851854,0.274623438936779,0.5945161385874663,0.2110280425780273,1.0,0.643939393939394,0.32867570888241104
441,Taylors,South Carolina,0,28,2,2,0.0,Y,0.0,0.46808510638297873,Wisconsin,Green Bay,0.01752660038374324,0,0,5,12,20,107.39064814814814,25.492935763888887,1.0,0.9,0.1,0.1,0.1,0.05,0.1,0.05,0.05,0.05,0.05,5.0,0.15,0.6500000000000002,2,1,2,0.14597210594761914,0.22453271720133888,0.09646758011172564,0.38317682317682317,0.12854103683798004,0.25807837810876555,0.10416769517866488,0.06853617186848615,0.18445554445554446,0.2506784260515604,0.10578428774482643
442,Prospect Park,Pennsylvania,1,1,2,1,0.01095639868635356,Y,0.0,0.4148936170212766,Pennsylvania,Prospect Park,0.026869004011861153,1,1,8,31,3,13.051979166666667,477.6958564814815,1.0,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,8.0,0.3333333333333333,3.6666666666666665,2,0,2,0.0,0.16803420322481905,0.1366276646007615,0.2534665334665335,0.24857238831037956,0.4131540781325537,0.16805063241145746,0.1366276646007615,0.2534665334665335,0.24118046132971505,0.32427304921824185
443,Saint Louis,Missouri,1,2,2,1,0.015483405868688755,Y,3.0,0.7446808510638298,Missouri,Saint Louis,0.03137624280481423,1,1,5,23,4,97.02098379629629,0.8644155092592593,2.0,1.0,1.75,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,10.25,3,1,2,0.0,0.025849896817638753,0.19307412245351713,0.06685314685314685,0.23323256074347773,0.30627623410606447,0.025869133778967015,0.19307412245351713,0.06685314685314685,0.22568973315241975,0.24038762677973455
444,South Burlington,District of Columbia,1,8,2,1,0.05143246201906389,Y,3.0,0.648936170212766,District of Columbia,Washington,0.06968428396999823,1,0,8,20,15,10.209953703703704,70.80150848765432,1.3636363636363635,0.26666666666666666,0.2,0.2,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667,8.0,0.2,1.2,1,1,0,0.08645172865926963,0.38062936303405515,0.49162057752702815,0.6593406593406593,0.522337924084649,0.49374985612007644,0.2782906624275516,0.13223645813068008,0.48487512487512485,0.29511533242876525,0.131561829964586
445,Aiken,South Carolina,0,27,2,2,0.004944864229834724,Y,0.0,0.5851063829787234,South Carolina,Aiken,0.021447758590615734,1,1,8,19,40,6.300590277777777,24.782772280092594,1.0,1.0,0.075,0.025,0.05,0.175,0.2,0.15,0.2,0.2,0.125,8.0,0.3,1.2,1,1,2,0.0,0.26438381863601806,0.008504488480031127,0.4216983016983017,0.0952860821856455,0.19280677118104317,0.2643983451653354,0.008504488480031127,0.4216983016983017,0.08638625056535504,0.1513286275265605
446,Indianapolis,Indiana,1,4,2,2,0.027558540036846175,Y,3.0,0.9148936170212766,Indiana,Indianapolis,0.04768009768009767,1,1,7,22,9,39.337152777777774,142.1201607510288,1.5,1.0,0.4444444444444444,0.8888888888888888,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,7.0,0.4444444444444444,4.4444444444444455,0,1,2,0.0,0.30569625877543766,0.1540257358050082,0.4786013986013986,0.04445190908073003,0.09121603474604235,0.3057099694902201,0.1540257358050082,0.4786013986013986,0.03505201266395297,0.07159290756221542
447,San Diego,California,0,4,2,2,0.06586788775264998,Y,3.0,0.851063829787234,California,San Diego,0.08218908076050933,1,1,8,22,4,9.410925925925927,313.010552662037,1.0,1.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,8.0,0.5,2.25,2,1,0,0.0,0.3662529498306625,0.21864317278563686,0.8231368631368632,0.470160116448326,0.2919496305163563,0.3662654647064051,0.21864317278563686,0.8231368631368632,0.4649479873360471,0.22914307740490017
448,,other,1,1,2,2,0.020752676688115774,Y,0.0,0.14893617021276595,New Hampshire,Goffstown,0.03662480376766091,0,0,8,17,11,14.391886574074075,2.1043770949074076e-06,11.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,11.0,2,2,2,,0.13327803943639718,0.0014729996386982018,0.20279720279720279,0.055984772141977376,0.12833321822939447,0.2282562365375023,0.18005417027122927,0.36265685019206145,0.29637086791517037,0.26091688864662055
449,Fremont,California,1,2,2,1,0.1291298427362294,Y,0.0,0.6382978723404255,California,Union City,0.13861154718297578,1,0,5,8,39,44.05753472222222,39.207172067901226,1.1818181818181819,0.10256410256410256,0.0,0.0,0.3076923076923077,0.1282051282051282,0.38461538461538464,0.15384615384615385,0.0,0.0,0.0,5.0,0.05128205128205128,0.9743589743589743,2,4,5,0.0,0.5945081311650227,0.2110280425780273,1.0,0.6474079050498264,0.41876347675284115,0.5945161385874663,0.2110280425780273,1.0,0.643939393939394,0.32867570888241104
450,Clifton,New Jersey,0,182,2,4,0.11155314661041837,Y,0.0,0.5425531914893617,New Jersey,Clifton,0.13958660387231814,1,1,6,21,12,68.00030092592593,46.370421489197525,1.2,0.0,0.6666666666666666,1.0,0.4166666666666667,0.75,0.75,0.75,0.75,0.75,0.75,6.0,0.75,6.583333333333333,2,0,5,,0.2329609595760502,0.1643460955050627,0.36504254167391803,0.25082632508851854,0.274623438936779,0.160990926055747,0.11981323476279147,0.19408591408591408,0.2814337403889643,0.34111277072442125
451,Glencoe,Illinois,0,32,2,2,0.06767548660988439,Y,3.0,0.9574468085106383,Illinois,Chicago,0.09157509157509157,1,0,8,24,1547,12.301203703703704,1.0847257685125231,1.0,1.0,0.012281835811247576,0.005171299288946348,0.008403361344537815,0.005817711700064641,0.014867485455720749,0.014221073044602456,0.014867485455720749,0.0006464124111182935,0.0,8.0,0.20361990950226244,0.07627666451195862,3,3,0,0.010497298232795679,0.10967939413687214,0.800227898057308,0.2692907092907093,0.5211062590975255,0.6219602968146903,0.2282562365375023,0.18005417027122927,0.36265685019206145,0.29637086791517037,0.26091688864662055
452,Brooklyn,New York,0,1,2,2,0.012832082877206098,Y,0.0,0.8936170212765957,Texas,San Juan,0.03156811442525728,0,0,8,22,122,15.46025462962963,13.351784589404977,1.0338983050847457,0.8524590163934426,0.0,0.0,0.0,0.0,0.00819672131147541,0.0,0.0,0.0,0.0,8.0,0.03278688524590164,0.00819672131147541,3,1,2,0.3421588049336292,0.6044511587033581,0.11091965203857591,0.8085914085914085,0.06986899563318777,0.1282257878864615,0.5048233098668036,1.0,0.932067932067932,0.7140434192673,0.48703293261702285
453,Caldwell,Idaho,0,2,2,2,0.0030665100258991246,Y,0.0,0.8829787234042553,Idaho,Caldwell,0.019706959706959706,1,1,8,21,28,23.397129629629628,50.89050099206349,1.0769230769230769,1.0,0.0,0.0,0.0,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,8.0,0.14285714285714285,0.21428571428571425,1,1,2,0.0,0.0003850824965194467,0.0,0.0011188811188811189,0.16683462098309257,0.0632764719875381,0.00040482232249528535,0.0,0.0011188811188811189,0.1586386250565355,0.04966392830470501
454,Baton Rouge,Louisiana,1,4,2,1,0.057201025285023896,Y,0.0,0.3723404255319149,Louisiana,Denham Spgs,0.07375719518576661,1,0,8,6,7,11.341365740740741,51.140042989417985,1.4,1.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,8.0,0.42857142857142855,1.4285714285714282,3,0,0,,0.2329609595760502,0.1643460955050627,0.36504254167391803,0.25082632508851854,0.274623438936779,0.00012835829737655388,0.002779244601317362,0.0004795204795204795,0.29637086791517037,0.26091688864662055
455,Greenville,South Carolina,0,2,2,2,0.009654767308359808,Y,0.0,0.7446808510638298,Texas,New Caney,0.028090005232862376,0,0,6,29,20,49.516168981481485,54.001276041666664,1.0,1.0,0.1,0.1,0.05,0.15,0.3,0.05,0.05,0.05,0.05,,,0.9000000000000001,2,1,2,0.1643247756626509,0.30379059411317477,0.04524610210944665,0.37074925074925075,0.07154853879744709,0.1503487649347361,0.10416769517866488,0.06853617186848615,0.18445554445554446,0.2506784260515604,0.10578428774482643
456,Humble,Texas,1,13,2,2,0.06271727231463435,Y,3.0,0.05319148936170213,Texas,Kingwood,0.086150357578929,1,0,6,25,15,25.61920138888889,36.338320216049375,1.0714285714285714,0.9333333333333333,0.13333333333333333,0.13333333333333333,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0,0.26666666666666666,2.466666666666667,0,1,0,0.0,0.30379059411317477,0.04524610210944665,0.37074925074925075,0.07154853879744709,0.1503487649347361,0.3038043424599374,0.04524610210944665,0.37074925074925075,0.06241519674355496,0.11800452913825918
457,Washington,Indiana,0,32,2,1,0.020408245000400494,Y,4.0,0.9042553191489361,Indiana,Washington,0.039856968428397,1,1,8,4,29,25.42863425925926,50.50788034802043,1.1153846153846154,1.0,0.13793103448275862,0.10344827586206896,0.06896551724137931,0.10344827586206896,0.13793103448275862,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.10344827586206896,8.0,0.3448275862068966,0.9655172413793103,0,1,2,0.0,0.17311926696090918,0.0033350935215808344,0.27336663336663336,0.07233232560743477,0.25297543681944795,0.17313559573060558,0.0033350935215808344,0.27336663336663336,0.06320669380370873,0.19855332578476956
458,Beltsville,Maryland,0,3,2,1,0.00017088083731610013,Y,0.0,0.9574468085106383,Florida,Wimauma,0.017714983429269145,0,0,7,19,39,42.37253472222222,27.26284929962013,1.0,1.0,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.02564102564102564,0.07692307692307693,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,7.0,0.1282051282051282,0.35897435897435903,2,3,2,,0.2329609595760502,0.1643460955050627,0.36504254167391803,0.25082632508851854,0.274623438936779,1.9747430365623675e-05,5.558489202634724e-05,3.996003996003996e-05,0.29637086791517037,0.26091688864662055
459,Denver,Colorado,0,133,2,2,0.038736549809094065,Y,3.0,0.3723404255319149,California,Modesto,0.054955520669806385,0,0,6,10,136,1.2305555555555556,12.461299104711319,1.0,1.0,0.051470588235294115,0.022058823529411766,0.14705882352941177,0.0661764705882353,0.15441176470588236,0.07352941176470588,0.007352941176470588,0.007352941176470588,0.007352941176470588,6.0,0.09558823529411764,0.5367647058823528,2,0,0,0.17326850408561417,0.3660357238069848,0.016536505377838302,0.44955044955044954,0.14186541260777066,0.2578251494432806,0.2282562365375023,0.18005417027122927,0.36265685019206145,0.29637086791517037,0.26091688864662055
460,Fairfield,Vermont,0,1,2,2,0.17367901102715402,Y,0.0,0.1595744680851064,Utah,Ogden,0.2075614861329147,0,0,6,8,18,49.147141203703704,28.22976337448559,1.0,1.0,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,6.0,0.1111111111111111,0.7777777777777779,1,4,3,0.39173926184483326,0.35170868015442797,0.033545482337900556,0.5022977022977023,0.16201993057888253,0.21498346340078428,0.2782906624275516,0.13223645813068008,0.48487512487512485,0.29511533242876525,0.131561829964586
461,Monrovia,California,0,3,2,3,0.06691987290737723,Y,3.0,0.8191489361702127,Colorado,Denver,0.08536717251002965,0,0,8,14,3,8.55324074074074,3.8580246875e-06,1.0,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,8.0,1.0,5.666666666666666,1,3,0,0.165330497362706,0.2329609595760502,0.1643460955050627,0.36504254167391803,0.25082632508851854,0.274623438936779,0.3566978346942604,0.12139740418554237,0.5060139860139861,0.5794889190411578,0.42523308198222076
462,Granger,Indiana,0,35,2,3,0.03658852428376899,Y,3.0,0.9042553191489361,Michigan,Detroit,0.0575614861329147,0,0,5,17,5,50.3074537037037,27.808060185185184,1.0,1.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,5.0,0.2,1.7999999999999998,1,3,0,0.0363429851528574,0.1265045370617218,0.17759373002417944,0.28243756243756246,0.12428619415518977,0.004872733411604019,0.03807304574492244,0.001528584530724549,0.05586413586413586,0.06795567616463138,0.19872798670167915
463,Reno,Nevada,1,3,2,2,0.12617547325981898,Y,0.0,0.24468085106382978,Nevada,Verdi,0.14441653584510725,1,0,9,1,3,14.60761574074074,1.8917399691357986,1.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,10.0,1,2,5,,0.2329609595760502,0.1643460955050627,0.36504254167391803,0.25082632508851854,0.274623438936779,0.04198303695731593,0.1864595203023818,0.10341658341658341,0.17005879692446857,0.047224698258209075
464,Philadelphia,Pennsylvania,1,1,2,1,0.03656983419218754,Y,0.0,0.6413725249046858,Pennsylvania,Philadelphia,0.05754055468341182,1,1,6,22,8,68.00515046296296,42.78366608796296,2.6666666666666665,1.0,0.25,0.25,0.125,0.125,0.125,0.125,0.125,0.125,0.125,6.0,0.125,1.375,2,3,0,0.0,0.2329609595760502,0.1643460955050627,0.36504254167391803,0.25082632508851854,0.274623438936779,0.2282562365375023,0.18005417027122927,0.36265685019206145,0.29637086791517037,0.26091688864662055
465,Boise,Idaho,1,217,2,1,0.0333991936560489,Y,3.0,0.3936170212765957,New York,New York City,0.05407116692830979,0,0,7,28,16,23.62267361111111,3.990211226851852,1.4545454545454546,1.0,0.1875,0.125,0.1875,0.25,0.75,0.25,0.0625,0.0625,0.0625,7.0,0.125,1.9375,1,0,2,0.4307865445574766,0.5048135312064931,1.0,0.932067932067932,0.7168290225058783,0.6205253343769424,0.2282562365375023,0.18005417027122927,0.36265685019206145,0.29637086791517037,0.26091688864662055
466,Marina,California,1,1,2,2,0.03106560222145088,Y,3.0,0.6170212765957447,California,Salinas,0.04725798011512297,1,0,8,6,3,24.996701388888887,121.05146990740741,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,8.0,0.6666666666666666,3.0,3,4,2,0.0,0.2652231010002271,0.051110308218226284,0.4001598401598402,0.34766543500167946,0.2609789973679566,0.2652376109558744,0.051110308218226284,0.4001598401598402,0.3412483039348711,0.2048350960032764
467,McKees Rocks,Pennsylvania,1,146,2,3,0.002629962886818143,Y,0.0,0.851063829787234,Pennsylvania,Mc Kees Rocks,0.020404674690388973,1,0,5,2,21,0.324224537037037,80.66383708112873,1.1666666666666667,0.0,0.19047619047619047,0.38095238095238093,0.19047619047619047,0.047619047619047616,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,5.0,0.14285714285714285,1.7619047619047619,1,1,2,0.0,0.2398372779604451,0.03340652010783469,0.39324675324675323,0.18430186989138952,0.5055211522671639,0.23985228922086516,0.03340652010783469,0.39324675324675323,0.17627770239710538,0.3967693753161965
468,Bakersfield,California,1,58,2,1,0.014135049261741386,Y,3.0,0.36170212765957444,California,Bakersfield,0.03026513169370312,1,1,7,16,270,4.469965277777778,5.733214077503426,1.4136125654450262,0.9592592592592593,0.044444444444444446,0.02962962962962963,0.02962962962962963,0.05925925925925926,0.08518518518518518,0.07037037037037037,0.06296296296296296,0.05555555555555555,0.04814814814814815,7.0,0.2111111111111111,0.48518518518518516,1,4,2,0.0,0.12091590390710626,0.08140407437258554,0.20123876123876125,0.14096965625349903,0.13211630101982091,0.12093326355907938,0.08140407437258554,0.20123876123876125,0.13251922207146088,0.10369437953214966
469,Minneapolis,Minnesota,1,74,2,2,0.12713667796972203,Y,3.0,0.7553191489361701,Minnesota,Minneapolis,0.1566370137798709,1,1,8,3,165,8.548356481481482,4.1328634960718285,1.875,0.03636363636363636,0.19393939393939394,0.09696969696969697,0.16363636363636364,0.503030303030303,0.593939393939394,0.5212121212121212,0.4727272727272727,0.4727272727272727,0.46060606060606063,8.0,0.12121212121212122,3.4787878787878785,2,3,5,0.0,0.065049320181285,0.20346849726244406,0.1751048951048951,0.2564102564102564,0.5355632803087854,0.06506778305473,0.20346849726244406,0.1751048951048951,0.24909543193125283,0.4203485990989906
470,Bossier City,Kentucky,0,3,2,2,0.04879715910607961,Y,3.0,0.9148936170212766,Louisiana,Bossier City,0.065292168149311,0,0,7,20,14,8.065416666666666,41.223979828042324,1.0,0.7857142857142857,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,,,0.6428571428571427,0,4,0,0.0,0.08091669381991963,0.052694477640977185,0.14453546453546454,0.033254954652334565,0.04532025752587919,0.08093484335350863,0.052694477640977185,0.14453546453546454,0.0237449118046133,0.03557059914717291
471,Canton,Ohio,0,3,2,1,0.008196940165006807,Y,3.0,0.9574468085106383,Ohio,Akron,0.026495726495726495,1,0,6,16,3,64.54693287037037,46.484575617283944,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0,0.3333333333333333,3.0,1,1,2,0.003950057978240829,0.15144603414398133,0.12064700814318668,0.2491908091908092,0.06057552345761952,0.16357804430734285,0.2282562365375023,0.18005417027122927,0.36265685019206145,0.29637086791517037,0.26091688864662055
